,tl_x,tl_y,br_x,br_y,t
0,147.43084716796875,409.775390625,245.66452026367188,455.3365478515625,0.0
1,147.49722290039062,408.759033203125,242.58895874023438,453.71142578125,0.03333333333333333
2,140.95361328125,406.9610900878906,246.45062255859375,451.2158508300781,0.06666666666666667
3,135.9167022705078,404.1875915527344,249.21934509277344,449.5743103027344,0.1
4,135.78170776367188,399.2323913574219,248.74789428710938,449.6116638183594,0.13333333333333333
5,136.127685546875,397.4704284667969,245.634765625,447.7906799316406,0.16666666666666666
6,355.6004943847656,268.5776672363281,443.7005310058594,316.6915588378906,3.6666666666666665
7,353.9876708984375,273.3458251953125,447.75390625,322.255615234375,3.6999999999999997
8,359.73095703125,270.785888671875,452.18804931640625,321.12664794921875,3.7333333333333334
9,370.3959655761719,271.25848388671875,457.3133850097656,324.42803955078125,3.7666666666666666
10,368.28924560546875,276.0855407714844,457.5096435546875,325.9645690917969,3.8
11,367.32470703125,275.251953125,458.458740234375,326.75567626953125,3.8333333333333335
12,369.67364501953125,276.8782043457031,458.599365234375,327.3718566894531,3.8666666666666667
13,369.6019287109375,277.9102783203125,457.59637451171875,327.0791015625,3.9
14,369.07586669921875,278.8743591308594,456.13580322265625,328.7005920410156,3.933333333333333
15,368.0904541015625,280.2650146484375,455.10198974609375,327.56439208984375,3.966666666666667
16,367.782958984375,282.15972900390625,452.37530517578125,327.25848388671875,4.0
17,368.1942443847656,282.3236999511719,450.2502746582031,326.1984558105469,4.033333333333333
18,368.93603515625,283.960205078125,446.456787109375,323.31695556640625,4.066666666666666
19,363.76422119140625,284.0219421386719,440.59820556640625,324.1539611816406,4.1
20,364.10443115234375,282.3016357421875,434.85400390625,321.563720703125,4.133333333333333
21,357.35015869140625,282.8255920410156,428.856201171875,322.8659362792969,4.166666666666667
22,353.2550048828125,283.0738830566406,423.77294921875,320.1612854003906,4.2
23,62.767765045166016,128.33493041992188,150.38406372070312,184.19793701171875,6.166666666666667
24,66.97853088378906,126.25477600097656,156.40957641601562,183.5808868408203,6.2
25,68.49532318115234,124.54165649414062,160.40673828125,182.45657348632812,6.233333333333333
26,263.4288330078125,77.76630401611328,337.2781982421875,121.54296112060547,6.833333333333333
27,283.35321044921875,76.23468780517578,355.99139404296875,119.65349578857422,6.866666666666666
28,299.72515869140625,74.84098815917969,377.87054443359375,122.07110595703125,6.8999999999999995
29,322.67120361328125,80.94010162353516,400.7120361328125,128.69384765625,6.933333333333334
30,343.8603515625,81.83058166503906,423.7672119140625,136.9241485595703,6.966666666666667
31,391.338623046875,97.04188537597656,470.18414306640625,154.69129943847656,7.033333333333333
32,477.8194885253906,145.010986328125,563.5113525390625,200.44815063476562,7.166666666666667
33,525.7418212890625,169.05416870117188,595.432373046875,225.15921020507812,7.233333333333333
34,552.8169555664062,173.7352294921875,640.0,267.046142578125,7.3
35,572.245361328125,205.70384216308594,639.68603515625,268.365478515625,7.333333333333333
36,585.0498657226562,209.72500610351562,639.8622436523438,283.02581787109375,7.366666666666666
37,600.94921875,222.63961791992188,640.0,285.74310302734375,7.3999999999999995
38,521.22802734375,328.5339050292969,597.319091796875,375.5019836425781,8.2
39,506.2720031738281,322.6752624511719,593.3753051757812,375.9164123535156,8.233333333333333
40,496.8448181152344,323.7012939453125,580.6713256835938,370.0347900390625,8.266666666666666
41,485.8285217285156,321.52362060546875,573.8599243164062,371.5205078125,8.3
42,479.2013854980469,320.5399475097656,565.7682495117188,362.9847717285156,8.333333333333334
43,470.6192626953125,319.68560791015625,546.1287841796875,355.48284912109375,8.366666666666667
44,464.9443664550781,317.47784423828125,534.6565551757812,352.0670166015625,8.4
45,456.2582702636719,314.86846923828125,534.5034790039062,353.041748046875,8.433333333333334
